Ukprn,Name,ApplicationType,StartDate,Status,ApplicationDeterminedDate
10067531,THE ABDO COLLEGE OF EDUCATION,Main provider,07/06/2024,,30/04/2024
10058640,HISP MULTI ACADEMY TRUST LTD T/A HISP MULTI ACADEMY TRUST LTD (Academy Trust),Main provider,07/06/2024,,30/04/2024
10091242,RASE VY LTD T/A Rase Veterinary Nursing College,Main provider,31/05/2024,,30/04/2024
10055370,CHILTERN LEARNING TRUST T/A Chiltern Learning Trust (Academy Trust),Main provider,31/05/2024,,30/04/2024
10093689,IBIS CONSULTANCY LIMITED,Main provider,31/05/2024,,30/04/2024
10092884,SPECTRUM TRAINING SERVICES LTD,Main provider,31/05/2024,,30/04/2024
10044252,ASPIRE TRAINING SOLUTIONS (UK) LIMITED,Main provider,23/01/2020,,28/07/2022
10081603,WESTGATE TRANSPORT TRAINING LIMITED,Supporting provider,30/05/2024,,30/05/2024
10056659,STAR GREENWICH EDUCATION,Main provider,02/11/2022,Not Currently Starting New Apprentices,27/09/2022
10058007,TECHNICAL PROFESSIONALS LIMITED T/A LearnTech,Main provider,13/03/2017,,31/05/2022
10039420,SHOOTERS HILL SIXTH FORM COLLEGE,Main provider,16/05/2024,,28/03/2024
10094277,ALTRAD EMPLOYMENT SERVICES LIMITED T/A Altrad Employment Services,Main provider,16/05/2024,,27/03/2024
10068195,FRANHEN CONSULTANCY LTD,Main provider,17/11/2022,Not Currently Starting New Apprentices,27/09/2022
10004762,NORTHUMBERLAND COUNCIL,Main provider,13/03/2017,,28/04/2022
10055360,LYDIATE LEARNING TRUST T/A Lydiate Learning Trust (Academy Trust),Main provider,10/05/2024,,27/03/2024
10063578,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",Main provider,30/04/2024,,30/04/2024
10059468,ASPIRATIONS ACADEMIES TRUST T/A ASPIRATIONS ACADEMIES TRUST (Academy Trust),Main provider,08/07/2022,,30/04/2024
10084402,TRANSPORT UK EAST MIDLANDS LIMITED T/A East Midlands Railway,Main provider,17/03/2020,,28/07/2022
10004835,OAKLANDS COLLEGE,Main provider,19/04/2024,,29/02/2024
10093162,HIPSTER GROUP LIMITED,Main provider,19/04/2024,,27/03/2024
10094331,NIC SERVICES GROUP LIMITED,Employer provider,19/04/2024,,27/03/2024
